75_5	(1, 2, 6)	-0.25680447
75_6	(2, 3, 6)	0.20085049
75_7	(3, 5, 9)	-0.65775585
75_8	(3, 5, 10)	0.81097746
75_9	(3, 5, 9)	0.33913422
75_10	(3, 5, 8)	0.031085968
77_2	(1, 1, 2)	0.3583269
77_3	(3, 5, 10)	0.56934834
77_4	(3, 3, 5)	-1.0164022
77_5	(0, 1, 1)	-1.5053701
77_6	(0, 0, 0)	-2.351603
77_7	(0, 0, 0)	-1.8305755
77_8	(3, 3, 3)	-1.2087116
77_9	(3, 3, 3)	-1.1776462
77_10	(3, 5, 8)	-0.6473284
78_2	(3, 5, 10)	1.687573
78_3	(4, 5, 10)	1.6913614
78_4	(3, 5, 10)	0.85454893
78_5	(3, 5, 10)	1.6122112
78_6	(3, 5, 10)	1.7169785
78_7	(0, 1, 1)	-1.0092645
78_8	(1, 1, 2)	0.6834264
78_9	(0, 0, 0)	-1.7681503
78_10	(0, 1, 2)	-0.48986006
79_2	(2, 2, 3)	-1.1734099
79_3	(3, 5, 10)	0.1208086
79_4	(0, 0, 0)	-1.005199
79_5	(0, 0, 0)	-2.29888
79_6	(0, 0, 1)	-0.24566555
79_7	(0, 0, 1)	-0.74829197
79_8	(0, 0, 0)	-1.8480649
79_9	(0, 0, 0)	-1.950594
